V1,count,lat,lon
ufa,1,54.734791,55.9578555
uga- j la,1,33.9566656,-83.375192
unga,1,,
ungru,1,NA,NA
upsalas,1,59.8585638,17.6389267
urama,1,10.62546,-66.4201073
us,1,37.09024,-95.712891
usa eesti,1,58.595272,25.013607
usa iseseisvuspäev,1,37.09024,-95.712891
usbek,1,,
usm,1,NA,NA
uural,1,60.2784931,59.1619065
uvdri,1,NA,NA
va,1,NA,NA
vaba-eesti,1,58.595272,25.013607
vahemeri,1,34.5531284,18.0480105
vaikses ookean,1,NA,NA
vaiparaisos,1,-33.047238,-71.6126885
vaivara,1,59.3646717,27.7847119
valga maakond,1,57.9103441,26.1601819
valgevenemas,1,NA,NA
valima- eesti,1,58.595272,25.013607
valima-esi fl,1,NO MATCH,NO MATCH
vana-andres,1,,
vanalinn,1,59.4363739,24.7445844
vara,1,,
varbla,1,58.4184808,23.7378563
vargamäe,1,59.1123587,25.5895191
vatikan,1,41.902916,12.453389
veae föderatsioon,1,NA,NA
vene föderaalne sotsialistlik vabariik,1,61.52401,105.318756
vene föderatuwabariiei,1,NA,NA
vene keisririik,1,NA,NA
vfsu,1,NA,NA
vihjama,1,NA,NA
vihula vald,1,59.5312573,26.0691289
viimsi,1,59.4994011,24.8419071
vilima-,1,58.8964214,22.2373494
viljan-,1,NA,NA
viljandi järv,1,58.3508039,25.5939661
viljandimaa,1,58.2821746,25.5752233
vilni-,1,NA,NA
viru-jaagup,1,59.2415495,26.4767804
vladivostok,1,43.1332484,131.9112975
vxlis-eesti,1,58.595272,25.013607
väbdras,1,NA,NA
välis-eestip för,1,NO MATCH,NO MATCH
värmland,1,59.5807897,12.8472974
västeråsi,1,59.6099005,16.5448091
võru g,1,57.8425017,27.0059657
võsu ja saaremaa,1,58.4849721,22.6136407
was k,1,NA,NA
washingto,1,38.9071923,-77.0368707
waterloos,1,NA,NA
xliit,1,,
y älis-eesii,1,51.8852225,8.4415272
yanisatsiooit,1,NA,NA
zemya h,1,NA,NA
äfillal,1,NA,NA
õjkoguge,1,NA,NA
õues,1,NO MATCH,NO MATCH
öldis,1,NA,NA
östenp undeni,1,NA,NA
üdski,1,NA,NA
šotimaa,1,56.4906712,-4.2026458
